id,Nome,Genero,Idade,Raça,Formação,Estado,Tempo de casa,Departamento,Senioridade,Idade Ingresso
1,Eleonora Arilda Penedo Gomes de Padilha,Fem,34,pardo,Ensino Médio,Santa Catarina,12,Compras,Analista Pleno,22
2,Elisângela Gabrielle de Osório,Fem,26,pardo,Ensino Médio,Pará,6,Contabilidade,Analista Júnior,20
3,José Túlio de Cabral,Masc,35,pardo,Ensino Médio,Santa Catarina,5,Vendas,Analista Pleno,30
4,Ezequiel Edivaldo de Medeiros Sonao,Masc,24,pardo,Ensino Superior,Tocantins,4,Administrativo,Gerente,20
5,Fagner Josiel dos Santos,Masc,21,pardo,Ensino Superior,Ceará,5,Recursos Humanos,Analista Júnior,16
6,Magali Luzimara da Silva,Fem,49,pardo,Ensino Superior,São Paulo,3,Contabilidade,Analista Pleno,46
7,Victor Plínio Shufrouze,Masc,29,pardo,Pós graduação,Ceará,9,Compras,Analista Sênior,20
8,Laércio Rossi,Masc,35,pardo,Ensino Superior,Rondônia,8,Operações,Analista Júnior,27
9,Francisco Ângelo de Toledo Seixas,Masc,40,pardo,Mestrado,Amapá,1,Administrativo,Analista Pleno,39
10,Fabrício Rangel de Gonçalves dos Santos,Masc,33,pardo,Ensino Superior,Minas Gerais,3,Desenvolvimento de Produtos,Analista Pleno,30
11,Laila da Silva,Fem,54,pardo,Pós graduação,São Paulo,5,Recursos Humanos,Analista Sênior,49
12,Nivaldo Ademar Valverde dos Santos,Masc,34,pardo,Mestrado,Acre,3,Administrativo,Analista Júnior,31
13,Mariano Rosa da Graça Neto,Masc,30,preto,Pós graduação,Santa Catarina,5,Administrativo,Analista Júnior,25
14,Eulália Brasil de Bezerra,Fem,35,preto,Doutorado,Roraima,6,Contabilidade,Analista Júnior,29
15,Marlon Rafael do Nascimento Uason,Masc,30,branco,Ensino Médio,Amazonas,5,Administrativo,Analista Júnior,25
16,César da Paraíba,Masc,37,branco,Mestrado,São Paulo,8,Desenvolvimento de Produtos,Analista Júnior,29
17,Toninho Nivaldo Siato,Masc,29,branco,Pós graduação,Roraima,3,Administrativo,Analista Sênior,26
18,Fabiano Táles Negrão,Masc,38,pardo,Doutorado,Minas Gerais,3,Administrativo,Analista Sênior,35
19,Adônis Otto de Aguiar da Lira,Masc,30,branco,Ensino Médio,Ceará,5,Contabilidade,Gerente,25
20,Álvaro Cristiano Schmidt,Masc,41,pardo,Ensino Superior,Paraná,5,Administrativo,Analista Júnior,36
21,Arthur Uckimovic Júnior,Masc,46,branco,Ensino Superior,Santa Catarina,3,Recursos Humanos,Analista Pleno,43
22,Emílio Bahia,Masc,49,pardo,Doutorado,Acre,6,Contabilidade,Estagiário,43
23,Mariano de Angola Onmmylte Neto,Masc,26,pardo,Ensino Superior,Bahia,8,Vendas,Analista Júnior,18
24,Milton Eugênio Shetum de Figueira,Masc,31,branco,Ensino Médio,Amazonas,0,Operações,Estagiário,31
25,Ricardo Diogo da Luz Nile Neto,Masc,29,branco,Ensino Superior,Piauí,7,Marketing,Analista Júnior,22
26,Aline de Uchôa,Fem,31,pardo,Ensino Superior,São Paulo,4,Contabilidade,Estagiário,27
27,Heloísa Laura Eala Aisvic,Fem,35,preto,Ensino Superior,São Paulo,5,Compras,Analista Júnior,30
28,Henrique Inácio Lussolson Tegego,Masc,32,branco,Ensino Superior,Goiás,5,TI,Analista Sênior,27
29,Milene Thaís Aciz,Fem,48,preto,Ensino Superior,Rio de Janeiro,3,Administrativo,Gerente,45
30,Patrícia de Miranda Xizu,Fem,29,branco,Ensino Superior,Paraná,0,Administrativo,Gerente,29
32,Rafaela Paim do Amaral,Fem,39,pardo,Mestrado,Paraná,4,Recursos Humanos,Gerente,35
33,Berenice Tono,Fem,30,branco,Mestrado,Piauí,5,Marketing,Analista Júnior,25
35,Yuri Góis Dutra,Masc,44,branco,Ensino Superior,Pernambuco,4,Operações,Gerente,40
36,Edson Felipe Ieldi Girru,Masc,47,pardo,Ensino Superior,Ceará,2,Administrativo,Estagiário,45
37,Ali Túlio de Miranda,Masc,33,branco,Ensino Superior,Ceará,4,Compras,Analista Pleno,29
38,Ayrton Ricardo do Espírito Santo Gomes,Masc,31,pardo,Ensino Superior,Tocantins,6,Desenvolvimento de Produtos,Analista Pleno,25
39,Sâmia Juliana do Espírito Santo de Tavares,Fem,27,preto,Ensino Médio,Mato Grosso,0,Administrativo,Analista Júnior,27
40,Zuleide Castelo,Fem,28,preto,Ensino Superior,Rio de Janeiro,8,Marketing,Analista Sênior,20
41,Renata Maria de Espanha Chearndeã do Amaral,Fem,29,branco,Mestrado,Amapá,1,Compras,Analista Júnior,28
42,Cléber dos Santos de Carvalho,Masc,34,branco,Ensino Superior,Pernambuco,0,TI,Analista Sênior,34
43,Fabiano Gomes,Masc,31,preto,Ensino Superior,Rio de Janeiro,8,Compras,Analista Júnior,23
44,Roberval Osvaldo Pyva Esalicason de Pinheiro,Masc,30,branco,Ensino Superior,Rio Grande do Norte,8,Vendas,Analista Pleno,22
45,Junior de Souza Abon,Masc,22,branco,Mestrado,Pernambuco,1,Marketing,Analista Pleno,21
46,Luan de Brito,Masc,21,pardo,Ensino Superior,Amapá,7,Contabilidade,Analista Pleno,14
47,Leandro Roberval Tyuslean,Masc,39,pardo,Pós graduação,Paraná,6,Compras,Analista Pleno,33
48,Nicolas de Pimentel Etozvic Aodintom,Masc,20,pardo,Ensino Superior,Acre,4,Contabilidade,Analista Pleno,16
49,Jacinto de Azevedo da Silva,Masc,36,pardo,Pós graduação,Paraná,8,Recursos Humanos,Analista Pleno,28
50,Albino da Silva dos Santos,Masc,30,pardo,Ensino Superior,Amapá,5,Compras,Analista Pleno,25
51,Dilma Berenice Vyratu Rage de Barbosa,Fem,29,branco,Ensino Médio,Santa Catarina,2,Contabilidade,Analista Júnior,27
52,Joel Marlon Hihopi,Masc,33,branco,Ensino Superior,São Paulo,5,Operações,Analista Júnior,28
53,Francisco Ysemelman Liyrn,Masc,49,branco,Ensino Superior,Piauí,2,Operações,Analista Pleno,47
54,Andréia Rebeca da Silva,Fem,40,branco,Pós graduação,Rio Grande do Sul,4,Contabilidade,Analista Pleno,36
55,Wendy Genir de Ortiz Pinto da Silva,Fem,37,branco,Doutorado,Rio de Janeiro,4,Administrativo,Analista Júnior,33
56,Arnaldo de Lemos,Masc,30,branco,Mestrado,Rondônia,5,TI,Estagiário,25
